"run_uuid","name","step","train_loss","train_Accuracy","train_F1","valid_loss","valid_Accuracy","valid_Accuracy_seq","valid_F1"
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,18,0.11815633161095628,0.8431422237605485,0.8178750463874266,0.11408988340776793,0.8476462850765306,0.0,0.8193996294693559
"074e290e79ad4c0781d83b974f0c6c19",UNet-num_convs-3-2-stride-2-1,19,0.11805927857190748,0.8435048292457806,0.8181202969503588,0.11438009097259871,0.8469188456632653,0.0,0.8177377315467022
"07909c5ce12f42a3bad8378504036844",UNet-num_convs-3-2-stride-1-1,0,0.11034500206730286,0.8641918842299579,0.8364362060435752,0.05939203455131881,0.939094387755102,0.0,0.937097886253061
"07909c5ce12f42a3bad8378504036844",UNet-num_convs-3-2-stride-1-1,1,0.03874286819438014,0.9708504334783755,0.9700868067262166,0.015085534059575625,0.9959542410714286,0.25,0.9959325879360486
"07909c5ce12f42a3bad8378504036844",UNet-num_convs-3-2-stride-1-1,2,0.00719534575827184,0.9986865852452531,0.9986843161844811,0.003067330081890128,0.9987244897959183,0.44387755102040816,0.998722373904925
"07909c5ce12f42a3bad8378504036844",UNet-num_convs-3-2-stride-1-1,3,0.003152869038091273,0.9990440400843882,0.9990429376056708,0.0023092478276135362,0.9990234375,0.5612244897959183,0.9990220985699148
"07909c5ce12f42a3bad8378504036844",UNet-num_convs-3-2-stride-1-1,4,0.00240366879525449,0.9992583069620253,0.9992575609757528,0.0018889541661708939,0.9990234375,0.5612244897959183,0.9990220985699148
"07909c5ce12f42a3bad8378504036844",UNet-num_convs-3-2-stride-1-1,5,0.0021081312282260445,0.9994107660864979,0.9994102065563967,0.002228647470474243,0.9990732621173469,0.5867346938775511,0.9990720134985289
"07909c5ce12f42a3bad8378504036844",UNet-num_convs-3-2-stride-1-1,6,0.0019303280394769938,0.9994756642273207,0.9994751761338124,0.0014285562864067604,0.9990832270408163,0.5918367346938775,0.9990820119640308
"07909c5ce12f42a3bad8378504036844",UNet-num_convs-3-2-stride-1-1,7,0.0017372796427161837,0.9995075982331224,0.9995071715187347,0.0013509358181998286,0.9990832270408163,0.5918367346938775,0.9990820119640308
"07909c5ce12f42a3bad8378504036844",UNet-num_convs-3-2-stride-1-1,8,0.0016173171123857158,0.9995148091376582,0.9995144008233118,0.0014279970699655159,0.9990832270408163,0.5918367346938775,0.9990820119640308
