,model,run_name,exp,run,arc_features,arc_num_conv,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq,arc_skip,arc_encoder_blocks,arc_kernels,limit
115,MLP,SMLP_f4_4_8,SimpleMLP_compress,SMLP_f4_4_8,"[4, 4, 8]",,,3264,0.1960257579882939,0.2107094526290893,0.1872422285377979,0.5941275457658949,0.6766299882628167,0.6764714937663163,0.6599564366663044,0.610245116120727,0.6629544654846538,0.0,0.0,0.0,,,,128
116,MLP,SMLP_f4_4_4,SimpleMLP_compress,SMLP_f4_4_4,"[4, 4, 4]",,,2732,0.1167950555682182,0.1637361831963062,0.113437196239829,0.716128766641747,0.8145468481787201,0.8256547782153391,0.790307710078297,0.7028319704922952,0.8035661855428768,0.0,0.0,0.0,,,,128
117,MLP,SMLP_f16_16,SimpleMLP_compress,SMLP_f16_16,"[16, 16]",,,10656,0.0710202223310867,0.11321572214365,0.077230479568243,0.7974340342547575,0.9005534541839599,0.8931847254347562,0.8877722421811611,0.7977419452254835,0.8796255598841795,0.0020833333333333,0.01171875,0.0,,,,128
118,MLP,SMLP_f8_16,SimpleMLP_compress,SMLP_f8_16,"[8, 16]",,,6424,0.0812423373262087,0.1379414740949869,0.0805152785032987,0.7569016261658472,0.8842720834900769,0.8757344479276192,0.8694775265968673,0.7546576708917114,0.8590198640827515,0.0,0.0,0.0,,,,128
119,MLP,SMLP_f8_8,SimpleMLP_compress,SMLP_f8_8,"[8, 8]",,,5328,0.0857905221482118,0.1706394329667091,0.091844443231821,0.7246948340895599,0.8759857711228347,0.8586361831728451,0.8589947785004316,0.7174794592187191,0.8386289809396783,0.0,0.0,0.0,,,,128
120,MLP,SMLP_f4_16,SimpleMLP_compress,SMLP_f4_16,"[4, 16]",,,4308,0.1292915711800257,0.1579551361501217,0.1197543535381555,0.716728063730577,0.7982426871497926,0.8170072161530745,0.7694146573569705,0.704142740487872,0.7916144892250232,0.0,0.0,0.0,,,,128
121,MLP,SMLP_f4_8,SimpleMLP_compress,SMLP_f4_8,"[4, 8]",,,3244,0.1140428232649962,0.1678280401974916,0.1086528860032558,0.7129004846893476,0.8322707409606316,0.8415626558009565,0.8066886153414596,0.698596267504051,0.8156658205542398,0.0,0.0,0.0,,,,128
122,MLP,SMLP_f4_4,SimpleMLP_compress,SMLP_f4_4,"[4, 4]",,,2712,0.1201117393871148,0.1585378777235746,0.1071752700954675,0.6970584894033647,0.8069332768822634,0.8320178859968709,0.7789274143407717,0.6951925053352984,0.8058882952737129,0.0,0.0,0.0,,,,128
123,MLP,SMLP_f16,SimpleMLP_compress,SMLP_f16,[16],,,10384,0.0608419864128033,0.138260057196021,0.0671268729493022,0.7887910882627697,0.9214721574525344,0.9060353462729736,0.9106799206487456,0.786870801215364,0.8935498364630362,0.0,0.0,0.0,,,,128
124,MLP,SMLP_f8,SimpleMLP_compress,SMLP_f8,[8],,,5256,0.0844459719955921,0.1450931243598461,0.0807696878910064,0.7537497247669573,0.8790086942276601,0.8845653384660843,0.8641046691629218,0.7543918142272972,0.8682154566440269,0.0,0.0,0.0,,,,128
125,MLP,SMLP_f4,SimpleMLP_compress,SMLP_f4,[4],,,2692,0.1484545027216275,0.1660054326057434,0.1309106275439262,0.6995577728493929,0.7769941623627817,0.8144525940958052,0.7395847019661751,0.6845885370215848,0.7813094330300393,0.0,0.0,0.0,,,,128
126,seq2pp,s2pp_nc2_skip_1_f32_32_32,seq2pp,s2pp_nc2_skip_1_f32_32_32,"[32, 32, 32]",2.0,1024.0,41377,0.0180237755489846,0.1116696335375309,0.083235427737236,0.8246817367711732,0.97707367927855,0.8773319130659075,0.9740993070687392,0.827320712832775,0.8651847993341337,0.0,0.0,0.0,1.0,2.0,,128
127,seq2pp,s2pp_nc2_skip_0_f32_32_32,seq2pp,s2pp_nc2_skip_0_f32_32_32,"[32, 32, 32]",2.0,1024.0,35233,0.0207109412799278,0.1132816560566425,0.0901344642043113,0.8130476537862434,0.9724134423858604,0.8690735330047741,0.9687963299454182,0.8125191003634973,0.8530823556156227,0.0,0.0,0.0,0.0,2.0,,128
128,seq2pp,s2pp_nc2_skip_1_f16_32_32,seq2pp,s2pp_nc2_skip_1_f16_32_32,"[16, 32, 32]",2.0,1024.0,28673,0.0209669558020929,0.123489947989583,0.0863916929811239,0.7984488197733265,0.971948579346665,0.8819898973711696,0.968290439886941,0.8113575604000401,0.8656451387077101,0.0,0.0,0.0,1.0,2.0,,128
129,seq2pp,s2pp_nc2_skip_0_f16_32_32,seq2pp,s2pp_nc2_skip_0_f16_32_32,"[16, 32, 32]",2.0,1024.0,24833,0.0235768624891837,0.1163693089038133,0.0779167041182518,0.8132985465842443,0.9686555949067048,0.8937687904387149,0.964509233696366,0.8124168483472922,0.8780357808141424,0.0,0.0,0.0,0.0,2.0,,128
130,seq2pp,s2pp_nc2_skip_1_f16_16_32,seq2pp,s2pp_nc2_skip_1_f16_16_32,"[16, 16, 32]",2.0,1024.0,14641,0.0235468327999115,0.1309689935296774,0.0892765820026397,0.8021779262823833,0.9686954942950476,0.8624280452224694,0.9646971454901772,0.800002170448538,0.8499870277556737,0.0,0.0,0.0,1.0,2.0,,128
131,seq2pp,s2pp_nc2_skip_0_f16_16_32,seq2pp,s2pp_nc2_skip_0_f16_16_32,"[16, 16, 32]",2.0,1024.0,13105,0.0314862105374534,0.1145249642431736,0.0926333982497453,0.8023804644401005,0.9569590272426712,0.8656262899784017,0.951104537461668,0.8112441266886667,0.8487519687437791,0.0,0.0,0.0,0.0,2.0,,128
132,seq2pp,s2pp_nc2_skip_1_f16_16_16,seq2pp,s2pp_nc2_skip_1_f16_16_16,"[16, 16, 16]",2.0,512.0,10705,0.025485182305177,0.1137004178017377,0.0930652301758527,0.8176891844985932,0.9659795213998572,0.8588101634129959,0.9614955955331612,0.8177704484689873,0.8450083584355035,0.0,0.0,0.0,1.0,2.0,,128
133,seq2pp,s2pp_nc2_skip_0_f16_16_16,seq2pp,s2pp_nc2_skip_0_f16_16_16,"[16, 16, 16]",2.0,512.0,9169,0.0372166008378068,0.114443426951766,0.0818183794617652,0.8114974041690384,0.948314663320932,0.8763321653991636,0.9411179022113194,0.8138041235396679,0.8625835541085602,0.0,0.0,0.0,0.0,2.0,,128
134,seq2pp,s2pp_nc2_skip_1_f8_32_32,seq2pp,s2pp_nc2_skip_1_f8_32_32,"[8, 32, 32]",2.0,1024.0,24625,0.0195687722104291,0.1202913019806146,0.090581264346838,0.8163796640679577,0.9744045444027504,0.8638394662200021,0.9711217664171464,0.8179345516943123,0.8534863033059843,0.0,0.0,0.0,1.0,2.0,,128
135,seq2pp,s2pp_nc2_skip_0_f8_32_32,seq2pp,s2pp_nc2_skip_0_f8_32_32,"[8, 32, 32]",2.0,1024.0,21361,0.0244014762962857,0.1254515573382377,0.0859353970736265,0.797957920532142,0.9672668989735904,0.867410587724681,0.962960460351976,0.7959252455884869,0.8512562200760362,0.0,0.0,0.0,0.0,2.0,,128
136,seq2pp,s2pp_nc2_skip_1_f8_16_32,seq2pp,s2pp_nc2_skip_1_f8_16_32,"[8, 16, 32]",2.0,1024.0,11361,0.0270635672534505,0.1147274691611528,0.1045229118317365,0.8048704622690984,0.9636925564427123,0.8555703306601413,0.958858704398343,0.8078014520038378,0.840697313621941,0.0,0.0,0.0,1.0,2.0,,128
