run_name,exp,run,arc_features,arc_num_conv,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
nc1_f8_16,SimpleCNN,nc1_f8_16,"[8, 16]",1,1024.0,131769,0.01637034205098947,0.151518227532506,0.06046470161527395,0.7951035801278323,0.9817866773697655,0.9172289510011425,0.9794524403638926,0.7978856969718051,0.9068246845238486,0.0,0.0,0.0
nc1_f4_64,SimpleCNN,nc1_f4_64,"[4, 64]",1,4096.0,525501,0.01945937058577935,0.13299530744552612,0.06092382874339819,0.8171092910226709,0.9783305427663647,0.9204831252998111,0.9757201597527402,0.8249743318325077,0.9103306142664561,0.0,0.0,0.0
nc1_f4_32,SimpleCNN,nc1_f4_32,"[4, 32]",1,2048.0,262845,0.009908223726476232,0.1261832546442747,0.05863659270107746,0.8178013393787588,0.988991803503559,0.9225365852583296,0.9876112838533767,0.8263448817504464,0.9131607675277372,0.0,0.0,0.0
nc1_f4_16,SimpleCNN,nc1_f4_16,"[4, 16]",1,1024.0,131517,0.017880414519459008,0.14080245420336723,0.0667948517948389,0.8020255864379437,0.9804217766964557,0.9076794708663698,0.977902063622396,0.8098847717251014,0.8956118046664127,0.0,0.0,0.0
nc1_f4_8,SimpleCNN,nc1_f4_8,"[4, 8]",1,512.0,65853,0.016093000303953886,0.1310582272708416,0.05915766768157482,0.8107427221197328,0.9821229637941862,0.921646738189963,0.9798297080421462,0.8211326012680547,0.9111572598411481,0.0,0.0,0.0
nc1_f64,SimpleCNN,nc1_f64,[64],1,8192.0,1049729,0.08769610350330671,0.18174051493406296,0.10531007871031761,0.7634193414637371,0.9065826728119196,0.8852030751235145,0.8963743480336764,0.772290486308043,0.8721603689848956,0.0,0.0,0.0
nc1_f32,SimpleCNN,nc1_f32,[32],1,4096.0,524929,0.008096130099147558,0.14201892726123333,0.054043191485106945,0.8018910764517988,0.9911493070597742,0.9312658637218322,0.9900433045483491,0.8057856930133652,0.9226684174895974,0.0,0.0,0.0
nc1_f16,SimpleCNN,nc1_f16,[16],1,2048.0,262529,0.009152940784891447,0.13119461201131344,0.05447809398174286,0.8098705471124137,0.9900717692051578,0.9295746745803639,0.9888179852839974,0.8224907897625389,0.9203068073660728,0.0,0.0,0.0
nc1_f8,SimpleCNN,nc1_f8,[8],1,1024.0,131329,0.015437428715328376,0.13864703103899956,0.05260281730443239,0.8099916819870255,0.9830971075953823,0.9327746119722332,0.9809834053586175,0.8169455573066722,0.9241013883351638,0.0,0.0,0.0
nc1_f4,SimpleCNN,nc1_f4,[4],1,512.0,65729,0.03262193575501442,0.14112582057714462,0.06681828200817108,0.800091687159564,0.9638385839604795,0.9176811923162118,0.9598766892297296,0.8137170855106495,0.9081497199773667,0.0,0.0,0.0
