run_name,exp,run,arc_features,arc_skip,arc_encoder_blocks,arc_num_conv,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
s2m_skip0_combsf4_8_16_128_512,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_8_16_128_512,"[4, 8, 16, 128, 512]",0,4,2,4096.0,1348529,0.027028748687977593,0.07901226090533393,0.07568515358226639,0.7577767812088532,0.9115672651395478,0.720976506725053,0.9043302564192423,0.7515654513037643,0.7099556814611366,0.0,0.0,0.0
s2m_skip1_combsf4_8_16_128_256,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_8_16_128_256,"[4, 8, 16, 128, 256]",1,4,2,2048.0,610721,0.03660865636387219,0.07059644588402339,0.06567097029515676,0.7672462617440654,0.8745035870719519,0.7518972827380929,0.8644394111484104,0.7633923274626259,0.7489545712844972,0.0,0.0,0.0
s2m_skip0_combsf4_8_16_128_256,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_8_16_128_256,"[4, 8, 16, 128, 256]",0,4,2,2048.0,560561,0.029760073482369382,0.07691903838089534,0.07402164489030838,0.7664673604190877,0.900100446416166,0.7343296267670226,0.8923314382656771,0.7531805985569316,0.7348448628305351,0.0,0.0,0.0
s2m_skip1_combsf4_8_16_64_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_8_16_64_512,"[4, 8, 16, 64, 512]",1,4,2,4096.0,1047649,0.046265887174134455,0.07085523647921425,0.06563644377248627,0.7676390457850274,0.8345339849395841,0.7503069781630065,0.8198732783136209,0.7576119589148232,0.7446598765562035,0.0,0.0,0.0
s2m_skip0_combsf4_8_16_64_512,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_8_16_64_512,"[4, 8, 16, 64, 512]",0,4,2,4096.0,1034353,0.09131277880320947,0.10793366921799523,0.09661081433296204,0.6763091097870567,0.6958236017231046,0.6748973604051631,0.5392958034584487,0.5169212402959643,0.515098165876947,0.0,0.0,0.0
s2m_skip1_combsf4_8_16_64_256,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_8_16_64_256,"[4, 8, 16, 64, 256]",1,4,2,2048.0,357985,0.050246333004906774,0.07410170137882233,0.06689227957810674,0.7645508005991255,0.8179185782963093,0.7314879417353868,0.801091240571846,0.7445503496660939,0.7363061086460394,0.0,0.0,0.0
s2m_skip0_combsf4_8_16_64_256,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_8_16_64_256,"[4, 8, 16, 64, 256]",0,4,2,2048.0,344689,0.0345703810841466,0.07940950883286339,0.07311298325657845,0.750674663476114,0.8838017130582879,0.7131244475880457,0.8737918898440423,0.742446147943082,0.7094339741554393,0.0,0.0,0.0
s2m_skip1_combsf4_8_16_64_128,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_8_16_64_128,"[4, 8, 16, 64, 128]",1,4,2,1024.0,160609,0.04657352529466152,0.07159368587391716,0.06675237310784203,0.7702928662829349,0.83484691724428,0.7630291476588503,0.8192339286990405,0.7566010116334575,0.7449448698224261,0.0,0.0,0.0
s2m_skip0_combsf4_8_16_64_128,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_8_16_64_128,"[4, 8, 16, 64, 128]",0,4,2,1024.0,147313,0.05434007647757729,0.08056324294635228,0.0717431264264243,0.7347990144453835,0.8018052591992794,0.7246996657452816,0.7811635895641184,0.7120705609446655,0.7032345290853997,0.0,0.0,0.0
s2m_skip1_combsf4_8_16_32_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_8_16_32_512,"[4, 8, 16, 32, 512]",1,4,2,4096.0,908993,0.03577743167988956,0.07762398570775986,0.07015662054930415,0.7546480178945922,0.8778898669867435,0.7517957114769249,0.8672251502212872,0.7463706761909169,0.733056979821959,0.0,0.0,0.0
