run_name,exp,run,arc_features,arc_kernels,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
scnn_k3_f64_64,SimpleCNN_cd-hit0_full,scnn_k3_f64_64,"[64, 64]","[3, 3]",13505,0.07555007507714133,0.09277998975345067,0.0844444866691317,0.6791054125170781,0.7134743451215925,0.6600577074675815,0.6857961946024339,0.6613419096814229,0.6506600124724277,0.0,0.0,0.0
scnn_k3_f32_64,SimpleCNN_cd-hit0_full,scnn_k3_f32_64,"[32, 64]","[3, 3]",6881,0.07546620396897197,0.09376017323562078,0.08456720624651227,0.6914972614014733,0.7139137411183407,0.6543455512385095,0.6863823530883862,0.6568215369265059,0.650222357119766,0.0,0.0,0.0
scnn_k3_f32_32,SimpleCNN_cd-hit0_full,scnn_k3_f32_32,"[32, 32]","[3, 3]",3681,0.07575938664376736,0.09232515948159355,0.08469785111291069,0.6803341617294165,0.7125426820915243,0.6694707111345714,0.6846732100461121,0.6644134953526708,0.6562649450517432,0.0,0.0,0.0
scnn_k3_f16_64,SimpleCNN_cd-hit0_full,scnn_k3_f16_64,"[16, 64]","[3, 3]",3569,0.0758673578966409,0.09263383064951215,0.0847733308162008,0.6753596478581457,0.7129359362375206,0.6684531258955053,0.6844881819885962,0.6630553323768205,0.6548432152358151,0.0,0.0,0.0
scnn_k3_f16_32,SimpleCNN_cd-hit0_full,scnn_k3_f16_32,"[16, 32]","[3, 3]",1905,0.07602617455025514,0.09275068449122566,0.08493530111653465,0.6769395596033932,0.7138555243901571,0.6595914071416269,0.6844110272831597,0.6625062635473541,0.6512975551263172,0.0,0.0,0.0
scnn_k3_f16_16,SimpleCNN_cd-hit0_full,scnn_k3_f16_16,"[16, 16]","[3, 3]",1073,0.07644931164880593,0.09244175681046077,0.08488831349781581,0.6831547997546242,0.7108523407848258,0.6686531743454951,0.6818337210539956,0.6649501802129805,0.6533074575487312,0.0,0.0,0.0
scnn_k3_f8_64,SimpleCNN_cd-hit0_full,scnn_k3_f8_64,"[8, 64]","[3, 3]",1913,0.07651419860000412,0.09441979761634554,0.08506442074264799,0.6423239939637642,0.7107218291963585,0.6562731556763639,0.6812007231083528,0.657736915826966,0.647219583706172,0.0,0.0,0.0
scnn_k3_f8_32,SimpleCNN_cd-hit0_full,scnn_k3_f8_32,"[8, 32]","[3, 3]",1017,0.07677684305235744,0.0934700784938676,0.08525469366993223,0.6880104965571314,0.7092638868201003,0.6544841672071977,0.6802717428351402,0.6592900872209242,0.6498746651129694,0.0,0.0,0.0
scnn_k3_f8_16,SimpleCNN_cd-hit0_full,scnn_k3_f8_16,"[8, 16]","[3, 3]",569,0.07745671908681591,0.0939258975642068,0.08497801423072815,0.6517353048318998,0.7080850711664753,0.6567648882896017,0.6758638595480183,0.657987623445921,0.6442050734551792,0.0,0.0,0.0
scnn_k3_f8_8,SimpleCNN_cd-hit0_full,scnn_k3_f8_8,"[8, 8]","[3, 3]",345,0.07788388167197506,0.09365332233054298,0.08578215113707952,0.6883343119808499,0.7056981698706895,0.6522428494847122,0.6752137684107639,0.6617065289697562,0.6451468079394121,0.0,0.0,0.0
scnn_k3_f4_64,SimpleCNN_cd-hit0_full,scnn_k3_f4_64,"[4, 64]","[3, 3]",1085,0.07722274865955114,0.09378740723643984,0.08536487179143089,0.6952272064412339,0.7077827638754122,0.6682547932954382,0.677507856838521,0.6595634052802556,0.6500663356398533,0.0,0.0,0.0
scnn_k3_f4_32,SimpleCNN_cd-hit0_full,scnn_k3_f4_32,"[4, 32]","[3, 3]",573,0.07768309814855456,0.0931956757392202,0.08553774761302131,0.6861835480033335,0.7082028747539616,0.6532254942605235,0.6757864399025291,0.6600524364876463,0.642979127241311,0.0,0.0,0.0
scnn_k3_f4_16,SimpleCNN_cd-hit0_full,scnn_k3_f4_16,"[4, 16]","[3, 3]",317,0.078177980457743,0.09361633764845985,0.0857113493340356,0.6839331742763377,0.7062746834418715,0.6644076448392572,0.6729112102077517,0.6622295605741021,0.6442079522530051,0.0,0.0,0.0
scnn_k3_f4_8,SimpleCNN_cd-hit0_full,scnn_k3_f4_8,"[4, 8]","[3, 3]",189,0.07881730725057423,0.09402583007301603,0.08631624068532671,0.6791989054596242,0.7033494720807245,0.6517142609019528,0.6689516985778035,0.6609743750592072,0.6408937752768449,0.0,0.0,0.0
scnn_k3_f4_4,SimpleCNN_cd-hit0_full,scnn_k3_f4_4,"[4, 4]","[3, 3]",125,0.07938777608796954,0.09405498419489179,0.08628374125276293,0.6740258437656098,0.7034145454533552,0.6603572094189529,0.6660976566736628,0.6588100766501449,0.6425313913748955,0.0,0.0,0.0
